meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Paris 2024,52.16,31/07/2024,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,1,1,974,Paris,FRA
Olympic Games Paris 2024,52.24,27/07/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,2,2,969,Paris,FRA
World Aquatics Championships - Doha 2024,52.26,16/02/2024,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,3,3,968,Doha,QAT
2024 AUS Championships,52.27,17/04/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,4,4,968,Gold Coast,AUS
Olympic Games Paris 2024,52.29,31/07/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,5,5,967,Paris,FRA
Olympic Games Paris 2024,52.33,31/07/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,6,6,964,Paris,FRA
2024 AUS Olympic Trials,52.33,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,6,7,964,Brisbane,AUS
Olympic Games Paris 2024,52.34,31/07/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,8,8,964,Paris,FRA
Olympic Games Paris 2024,52.48,27/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,9,9,956,Paris,FRA
2024 AUS Olympic Trials,52.52,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,10,10,954,Brisbane,AUS
Olympic Games Paris 2024,52.53,27/07/2024,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,11,11,953,Paris,FRA
World Aquatics Championships - Doha 2024,52.53,15/02/2024,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,11,12,953,Doha,QAT
Mare Nostrum Canet 2024,52.55,26/05/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,13,13,952,Canet-en-Roussillon,FRA
2024 U.S. Olympic Trials,52.56,19/06/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"DOUGLASS, Kate",F,17/11/2001,,,14,14,952,Indianapolis,USA
World Aquatics Championships - Doha 2024,52.56,16/02/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,14,15,952,Doha,QAT
Sette colli 2024,52.57,22/06/2024,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,16,16,951,Rome,ITA
2024 AUS Olympic Trials,52.57,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,16,17,951,Brisbane,AUS
2024 AUS Championships,52.59,17/04/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,18,18,950,Gold Coast,AUS
2024 AUS Championships,52.60,17/04/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,19,19,950,Gold Coast,AUS
Olympic Games Paris 2024,52.64,30/07/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,20,20,947,Paris,FRA
2024 AUS Olympic Trials,52.65,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,21,21,947,Brisbane,AUS
2024 China National Swimming Championships,52.68,23/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,22,22,945,Shenzhen,CHN
Olympic Games Paris 2024,52.72,31/07/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,23,23,943,Paris,FRA
Olympic Games Paris 2024,52.72,30/07/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,23,24,943,Paris,FRA
2024 AUS Olympic Trials,52.72,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,23,25,943,Brisbane,AUS
Mare Nostrum MON 2024,52.72,02/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,23,26,943,Monaco,MON
Eindhoven 2024,52.72,13/04/2024,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,23,27,943,Eindhoven,NED
2024 TYR Pro Series TX,52.74,11/04/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,28,28,942,San Antonio,USA
Olympic Games Paris 2024,52.75,30/07/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,29,29,942,Paris,FRA
Mare Nostrum BCN 2024,52.76,29/05/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,30,30,941,Barcelona,ESP
Sette colli 2024,52.78,22/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,31,31,940,Rome,ITA
Olympic Games Paris 2024,52.81,30/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,32,32,938,Paris,FRA
Olympic Games Paris 2024,52.82,31/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,33,33,938,Paris,FRA
2024 NSW Championships,52.82,15/03/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,33,34,938,Sydney,AUS
Olympic Games Paris 2024,52.83,31/07/2024,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,35,35,937,Paris,FRA
World Aquatics Championships - Doha 2024,52.83,16/02/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,35,36,937,Doha,QAT
Olympic Games Paris 2024,52.86,30/07/2024,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,37,37,936,Paris,FRA
Olympic Games Paris 2024,52.87,30/07/2024,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,38,38,935,Paris,FRA
2024 U.S. Olympic Trials,52.90,18/06/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,39,39,934,Indianapolis,USA
World Aquatics Championships - Doha 2024,52.92,15/02/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,40,40,932,Doha,QAT
2024 U.S. Olympic Trials,52.93,19/06/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,41,41,932,Indianapolis,USA
2024 AUS Championships,52.94,17/04/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,42,42,931,Gold Coast,AUS
2024 AUS Olympic Trials,52.95,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"CAMPBELL, Bronte",F,14/05/1994,,,43,43,931,Brisbane,AUS
2024 AUS Olympic Trials,52.97,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,44,44,930,Brisbane,AUS
Olympic Games Paris 2024,52.98,27/07/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"DOUGLASS, Kate",F,17/11/2001,,,45,45,929,Paris,FRA
2024 TYR Pro Series TX,52.98,11/04/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"DOUGLASS, Kate",F,17/11/2001,,,45,46,929,San Antonio,USA
Olympic Games Paris 2024,52.99,30/07/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,47,47,929,Paris,FRA
Olympic Games Paris 2024,52.99,30/07/2024,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,47,48,929,Paris,FRA
